name,publisher,platforms,num_platforms,year_released,genre,na_sales,eu_sales,jp_sales,other_sales,global_sales,critic_score,critic_count,user_score,user_count,developer,rating
Alien Resurrection,Fox Interactive,"[""PS""]",1,2000,Shooter,0.09,0.06,0,0.01,0.16,61,12,7.5,15,Argonaut Games,M
Aliens: Colonial Marines,Sega,"[""PS3"", ""PC"", ""X360""]",3,2013,Shooter,0.66,0.69,0,0.2,1.55,45.333333333333336,112,3.633333333333333,1900,Gearbox Software,M
Aliens: Infestation,Sega,"[""DS""]",1,2011,Action,0.09,0.05,0,0.02,0.16,76,43,8.2,29,"Gearbox Software, WayForward",T
Aliens in the Attic,Playlogic Game Factory,"[""DS""]",1,2009,Action,0.05,0,0,0,0.05,58,7,6,5,Engine Software,E10+
Aliens versus Predator: Extinction,Electronic Arts,"[""XB"", ""PS2""]",2,2003,Strategy,0.15,0.09000000000000001,0,0.02,0.27,65,36,8.05,51,Zono Inc.,T
Aliens vs Predator,Sega,"[""PS3"", ""X360"", ""PC""]",3,2010,Shooter,0.96,1.03,0,0.31,2.29,65.66666666666667,156,7.333333333333333,1400,Rebellion,M
Aliens vs Predator: Requiem,Vivendi Games,"[""PSP""]",1,2007,Action,0.03,0.12,0,0.07,0.22,49,34,5.6,19,Rebellion,T
Alien Syndrome,Sega,"[""Wii"", ""PSP""]",2,2007,Role-Playing,0.12000000000000001,0,0,0.01,0.14,49.5,44,6.55,32,Totally Games,T
All-Pro Football 2K8,Take-Two Interactive,"[""X360"", ""PS3""]",2,2007,Sports,0.38,0,0,0.03,0.41000000000000003,74,45,7.05,73,Visual Concepts,E10+
All-Star Baseball 2002,Acclaim Entertainment,"[""PS2"", ""GC""]",2,2001,Sports,0.44000000000000006,0.25,0,0.08,0.78,71.5,33,6.6,17,Acclaim,E
